order,type,document_number,parcel_number,sub_district_no,location_id,rai,ngan,tarang_wa,usage_agriculture,usage_living,usage_other,usage_none,usage_misc,type_of_usage
1473,โฉนด,1217,2202,5391.0,02L044,0.0,0.0,36.1,36.1,0.0,0.0,0.0,0.0,agriculture
1474,โฉนด,338,2201,376.0,02L045,0.0,0.0,94.2,94.2,0.0,0.0,0.0,0.0,agriculture
1486,โฉนด,197,2243,372.0,02L053,0.0,0.0,76.3,76.3,0.0,0.0,0.0,0.0,agriculture
1500,โฉนด,131,2232,364.0,02L067,0.0,1.0,70.0,170.0,0.0,0.0,0.0,0.0,agriculture
1509,นสล,ลพ.0842,10,-,02L078,0.0,0.0,40.7,40.7,0.0,0.0,0.0,0.0,agriculture
1511,โฉนด,1722,897,1476.0,03A002,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,agriculture
1525,โฉนด,49940,910,3911.0,03A016/001,0.0,2.0,47.1,247.1,0.0,0.0,0.0,0.0,agriculture
1530,โฉนด,2350,917,902.0,03A020,1.0,0.0,23.7,423.7,0.0,0.0,0.0,0.0,agriculture
1537,โฉนด,1037,931,5390.0,03A027,2.0,1.0,19.4,919.4,0.0,0.0,0.0,0.0,agriculture
1550,โฉนด,140938,987,6335.0,03A031/004,0.0,0.0,24.5,24.5,0.0,0.0,0.0,0.0,agriculture
1558,โฉนด,ลพ.0680,-,-,03B001,5.0,3.0,3.0,2303.0,0.0,0.0,0.0,0.0,agriculture
1559,โฉนด,1330,954,1522.0,03B002,2.0,2.0,17.5,1017.5,0.0,0.0,0.0,0.0,agriculture
1560,โฉนด,22126,955,3157.0,03B003,0.0,1.0,14.2,114.2,0.0,0.0,0.0,0.0,agriculture
1561,โฉนด,1867,956,1521.0,03B004,3.0,0.0,51.9,1251.9,0.0,0.0,0.0,0.0,agriculture
1563,โฉนด,1383,960,1517.0,03B006,3.0,0.0,39.4,1239.4,0.0,0.0,0.0,0.0,agriculture
1565,โฉนด,1389,961,1510.0,03B009,1.0,0.0,88.4,488.4,0.0,0.0,0.0,0.0,agriculture
1566,โฉนด,1381,962,1509.0,03B010,2.0,3.0,9.2,1109.2,0.0,0.0,0.0,0.0,agriculture
1612,นสล,ลพ 1083,-,-,03D001,5.0,2.0,18.0,2218.0,0.0,0.0,0.0,0.0,agriculture
1623,โฉนด,955,826,1200.0,03D009,0.0,0.0,73.9,73.9,0.0,0.0,0.0,0.0,agriculture
1628,โฉนด,27062,825,3530.0,03D009/005,0.0,0.0,79.2,79.2,0.0,0.0,0.0,0.0,agriculture
1633,โฉนด,1401,1273,1199.0,03D013,0.0,1.0,52.1,152.1,0.0,0.0,0.0,0.0,agriculture
1634,โฉนด,27705,1272,3504.0,03D013/001,0.0,1.0,61.1,161.1,0.0,0.0,0.0,0.0,agriculture
1638,โฉนด,1875,1279,1193.0,03D015,0.0,2.0,11.1,211.1,0.0,0.0,0.0,0.0,agriculture
1641,โฉนด,2759,1280,1195.0,03D016,7.0,0.0,10.5,2810.5,0.0,0.0,0.0,0.0,agriculture
1646,โฉนด,66403,176,4117.0,03D019/001,0.0,1.0,65.8,165.8,0.0,0.0,0.0,0.0,agriculture
1649,โฉนด,10928,1054,2511.0,03D020,0.0,2.0,40.1,240.1,0.0,0.0,0.0,0.0,agriculture
1668,โฉนด,10939,1083,2502.0,03D040,0.0,1.0,35.0,135.0,0.0,0.0,0.0,0.0,agriculture
1669,โฉนด,10938,1082,2501.0,03D041,0.0,1.0,34.8,134.8,0.0,0.0,0.0,0.0,agriculture
1680,โฉนด,10934,1094,2497.0,03D054,0.0,1.0,34.6,134.6,0.0,0.0,0.0,0.0,agriculture
1681,โฉนด,10935,1095,2498.0,03D055,0.0,1.0,34.5,134.5,0.0,0.0,0.0,0.0,agriculture
1714,โฉนด,782,1333,1180.0,03D080,0.0,0.0,72.3,72.3,0.0,0.0,0.0,0.0,agriculture
1715,โฉนด,98754,33,4947.0,03D080/001,0.0,0.0,59.1,59.1,0.0,0.0,0.0,0.0,agriculture
1724,โฉนด,25243,1300,3300.0,03D086,0.0,0.0,59.8,59.8,0.0,0.0,0.0,0.0,agriculture
1775,โฉนด,2035,1073,1596.0,03E002,12.0,0.0,88.8,4888.8,0.0,0.0,0.0,0.0,agriculture
1777,โฉนด,2625,1232,1549.0,03E004,0.0,0.0,62.9,62.9,0.0,0.0,0.0,0.0,agriculture
1779,โฉนด,27758,1231,3545.0,03E004/004,0.0,0.0,63.8,63.8,0.0,0.0,0.0,0.0,agriculture
1780,โฉนด,2456,1144,1551.0,03E005,0.0,2.0,26.9,226.9,0.0,0.0,0.0,0.0,agriculture
1785,โฉนด,2505,1142,1552.0,03E008,0.0,2.0,57.1,257.1,0.0,0.0,0.0,0.0,agriculture
1809,โฉนด,70640,9,4345.0,03E026/001,0.0,2.0,16.1,216.1,0.0,0.0,0.0,0.0,agriculture
1816,โฉนด,1163,1215,1574.0,03E031,1.0,0.0,77.2,477.2,0.0,0.0,0.0,0.0,agriculture
1818,โฉนด,138161,28,6185.0,03E032/001,0.0,1.0,71.6,171.6,0.0,0.0,0.0,0.0,agriculture
1821,โฉนด,138163,30,6187.0,03E032/004,0.0,0.0,85.8,85.8,0.0,0.0,0.0,0.0,agriculture
1823,โฉนด,1120,1213,1599.0,03E034,0.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,agriculture
1834,โฉนด,784,1384,1138.0,03F004,0.0,1.0,42.3,142.3,0.0,0.0,0.0,0.0,agriculture
1851,โฉนด,26504,1392,3439.0,03F011/002,0.0,0.0,87.6,87.6,0.0,0.0,0.0,0.0,agriculture
1903,โฉนด,27728,1425,3537.0,03F041/005,0.0,1.0,29.3,129.3,0.0,0.0,0.0,0.0,agriculture
1906,โฉนด,1143,1418,1172.0,03F043,0.0,1.0,64.2,164.2,0.0,0.0,0.0,0.0,agriculture
1907,โฉนด,2898,1419,1960.0,03F043/001,0.0,1.0,68.9,168.9,0.0,0.0,0.0,0.0,agriculture
1909,โฉนด,11121,1414,2581.0,03F045,0.0,0.0,53.7,53.7,0.0,0.0,0.0,0.0,agriculture
1927,โฉนด,65914,41,4140.0,03F054/001,1.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,agriculture
1928,โฉนด,16431,1435,2982.0,03F055,0.0,0.0,92.2,92.2,0.0,0.0,0.0,0.0,agriculture
1961,โฉนด,1207,1442,1592.0,03F072,2.0,1.0,47.2,947.2,0.0,0.0,0.0,0.0,agriculture
1963,โฉนด,142631,72,6482.0,03F073/001,0.0,1.0,1.0,101.0,0.0,0.0,0.0,0.0,agriculture
1983,โฉนด,77087,13,4446.0,03F086/001,0.0,0.0,86.2,86.2,0.0,0.0,0.0,0.0,agriculture
2002,โฉนด,2922,2478,1978.0,03F100,0.0,1.0,6.3,106.3,0.0,0.0,0.0,0.0,agriculture
2005,โฉนด,1359,2481,549.0,03F103,0.0,1.0,58.0,158.0,0.0,0.0,0.0,0.0,agriculture
2021,โฉนด,2762,-,-,03F117,2.0,3.0,36.9,1136.9,0.0,0.0,0.0,0.0,agriculture
2023,โฉนด,1898,1118,1754.0,03G001/001,1.0,2.0,60.7,660.7,0.0,0.0,0.0,0.0,agriculture
2028,โฉนด,134649,43,6048.0,03G001/006,1.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,agriculture
2048,โฉนด,145154,55,6529.0,03G003/002,1.0,2.0,20.1,620.1,0.0,0.0,0.0,0.0,agriculture
2052,โฉนด,19157,1167,3076.0,03G007,0.0,0.0,84.0,84.0,0.0,0.0,0.0,0.0,agriculture
2060,โฉนด,18840,1175,3041.0,03G015,0.0,2.0,0.6,200.6,0.0,0.0,0.0,0.0,agriculture
2066,โฉนด,18834,1439,3035.0,03G022,0.0,2.0,0.0,200.0,0.0,0.0,0.0,0.0,agriculture
2080,โฉนด,1309,1190,1528.0,03G027,0.0,0.0,89.5,89.5,0.0,0.0,0.0,0.0,agriculture
2095,โฉนด,71611,3,4382.0,03G039/001,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,agriculture
2098,โฉนด,2920,1520,1976.0,03G042,0.0,2.0,34.8,234.8,0.0,0.0,0.0,0.0,agriculture
2105,โฉนด,2909,2492,1965.0,03G049,0.0,1.0,11.4,111.4,0.0,0.0,0.0,0.0,agriculture
2129,โฉนด,21802,2500,3171.0,03G064,0.0,0.0,78.7,78.7,0.0,0.0,0.0,0.0,agriculture
2144,โฉนด,2440,1247,1544.0,03G075,0.0,0.0,66.1,66.1,0.0,0.0,0.0,0.0,agriculture
2145,โฉนด,116433,6,4920.0,03G075/001,0.0,0.0,66.0,66.0,0.0,0.0,0.0,0.0,agriculture
2149,โฉนด,2639,1234,1547.0,03G078,0.0,0.0,86.0,86.0,0.0,0.0,0.0,0.0,agriculture
2150,โฉนด,69523,1,4336.0,03G079,0.0,2.0,2.8,202.8,0.0,0.0,0.0,0.0,agriculture
2151,โฉนด,99553,8,4950.0,03G080,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,agriculture
2199,โฉนด,364,2454,539.0,03h035,0.0,1.0,40.0,140.0,0.0,0.0,0.0,0.0,agriculture
2200,โฉนด,152697,69,6842.0,03h035/001,0.0,1.0,40.0,140.0,0.0,0.0,0.0,0.0,agriculture
2225,โฉนด,2683,2191,418.0,03h054,5.0,1.0,16.8,2116.8,0.0,0.0,0.0,0.0,agriculture
2228,โฉนด,898,2428,518.0,03h057,0.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,agriculture
2234,โฉนด,59846,2433,4017.0,03h060/001,1.0,3.0,28.4,728.4,0.0,0.0,0.0,0.0,agriculture
2275,โฉนด,69648,2,4337.0,03h093,0.0,1.0,35.3,135.3,0.0,0.0,0.0,0.0,agriculture
2276,โฉนด,30634,2508,3560.0,03h094,0.0,3.0,53.9,353.9,0.0,0.0,0.0,0.0,agriculture
2277,โฉนด,30549,2507,3559.0,03h095,0.0,1.0,99.2,199.2,0.0,0.0,0.0,0.0,agriculture
2279,โฉนด,69998,2560,4106.0,03h097,0.0,1.0,15.4,115.4,0.0,0.0,0.0,0.0,agriculture
2290,โฉนด,2682,2323,2.0,04A010,2.0,0.0,7.0,807.0,0.0,0.0,0.0,0.0,agriculture
2291,โฉนด,2753,1821,1.0,04A011,1.0,2.0,97.6,697.6,0.0,0.0,0.0,0.0,agriculture
2429,โฉนด,2746,2398,349.0,04A101,2.0,1.0,76.3,976.3,0.0,0.0,0.0,0.0,agriculture
2457,โฉนด,-,-,-,04A116,11.0,2.0,29.5,4629.5,0.0,0.0,0.0,0.0,agriculture
2518,โฉนด,117,822,314.0,04A164,0.0,0.0,81.4,81.4,0.0,0.0,0.0,44.0,agriculture
