order,type,document_number,parcel_number,sub_district_no,location_id,rai,ngan,tarang_wa,usage_agriculture,usage_living,usage_other,usage_none,usage_misc
5318,โฉนด,7989,1498,2263,06D034,0,1,20.6,,120.6,,,
5319,โฉนด,7988,1497,2262,06D035,0,1,20.6,,,120.6,,
5320,โฉนด,7987,1496,2261,06D036,0,1,20.6,,120.6,,,
5321,โฉนด,7986,1495,2260,06D037,0,1,20.6,,120.6,,,
5322,โฉนด,7985,1494,2259,06D038,0,1,20.6,,,120.6,,
5323,โฉนด,7984,1493,2258,06D039,0,0,70.9,,70.9,,,
5324,โฉนด,134333,2809,5974,06D039/001,0,0,44.7,,,44.7,,
5325,โฉนด,7983,1492,2257,06D040,0,1,20.6,,120.6,,,
5326,โฉนด,7982,1491,2256,06D041,0,1,20.6,,,120.6,,
5327,โฉนด,7981,1490,2255,06D042,0,0,24.2,,,24.2,,
5328,โฉนด,68535,218,4194,06D042/001,0,0,24.1,,,24.1,,
5329,โฉนด,68534,217,4193,06D042/002,0,0,24.1,,24.1,,,
5330,โฉนด,68533,216,4192,06D042/003,0,0,24.1,,,24.1,,
5331,โฉนด,68532,216,4192,06D042/004,0,0,24.1,,,24.1,,
5332,โฉนด,68531,214,4190,06D042/005,0,0,24.1,,,24.1,,
5333,โฉนด,7980,2103,2254,06D043,0,0,24.1,,,24.1,,
5334,โฉนด,65919,2621,4152,06D043/001,0,0,24.2,,,24.2,,
5335,โฉนด,65920,2622,4153,06D043/002,0,0,24.1,,,24.1,,
5336,โฉนด,65921,2622,4153,06D043/003,0,0,24.1,,,24.1,,
5337,โฉนด,65922,2755,4155,06D043/004,0,0,24.1,,,24.1,,
5338,โฉนด,65923,2763,4156,06D043/005,0,0,24.1,,,24.1,,
5339,โฉนด,55023,2102,4008,06D044,0,0,94.6,,,94.6,,
5340,โฉนด,7979,2101,2253,06D044/001,0,0,86.3,,,86.3,,
5341,โฉนด,7978,2097,2252,06D045,0,0,88.1,,,88.1,,
5342,โฉนด,51005,2092,3940,06D045/001,0,0,31.7,,,31.7,,
5343,โฉนด,51006,2093,3941,06D045/002,0,0,15.1,,,15.1,,
5344,โฉนด,51007,2094,3942,06D045/003,0,0,14.6,,,14.6,,
5345,โฉนด,51008,2095,3943,06D045/004,0,0,14.6,,,14.6,,
5346,โฉนด,51009,2096,3944,06D045/005,0,0,14.6,,,14.6,,
5347,โฉนด,7976,1506,2250,06D047,0,3,15.2,,315.2,,,
5348,โฉนด,142378,2883,6475,06D047/001,0,1,75.8,,175.8,,,
5349,โฉนด,7975,1507,2249,06D048,0,1,19.1,,119.1,,,
5350,โฉนด,7974,1508,2248,06D049,0,1,19.1,,119.1,,,
5351,โฉนด,7973,1509,2247,06D050,0,1,19.1,,,,119.1,
5352,โฉนด,7972,1510,2246,06D051,0,1,19.2,,,119.2,,
5353,โฉนด,7971,1511,2245,06D052,0,1,19.2,,,,119.2,
5354,โฉนด,7970,1512,2244,06D053,0,1,19.3,,119.3,,,
5355,โฉนด,7969,1513,2243,06D054,0,1,19.3,,116.3,3,,
5356,โฉนด,7968,2106,2242,06D055,0,1,19.3,,,119.3,,
5357,โฉนด,7967,2105,2241,06D056,0,1,43.2,,,,143.2,
