ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),อยู่อาศัย (ตร.ว.),อื่น ๆ (ตร.ว.),ว่างเปล่า/ไม่ทำประโยชน์ (ตร.ว.),ใช้ประโยชน์หลากหลาย (ตร.ว.),ลักษณะการทำประโยชน์
870,โฉนด,11196,832,2626.0,2E0105,0.0,1.0,21.3,-,-,-,121.3,-,ว่างเปล่า/ไม่ทำประโยชน์
871,โฉนด,11197,831,2627.0,2E0106,0.0,1.0,22.8,-,-,-,122.8,-,ว่างเปล่า/ไม่ทำประโยชน์
872,โฉนด,11198,830,2628.0,2E0107,0.0,1.0,24.4,-,-,-,124.4,-,ว่างเปล่า/ไม่ทำประโยชน์
873,โฉนด,11199,829,2629.0,2E0108,0.0,1.0,25.9,-,-,-,125.9,-,ว่างเปล่า/ไม่ทำประโยชน์
875,โฉนด,11201,827,2631.0,2E0110,0.0,1.0,27.6,-,-,-,127.6,-,ว่างเปล่า/ไม่ทำประโยชน์
876,โฉนด,11202,826,2632.0,2E0111,0.0,1.0,29.2,-,-,-,129.2,-,ว่างเปล่า/ไม่ทำประโยชน์
877,โฉนด,11203,825,2633.0,2E0112,0.0,1.0,30.8,-,-,-,130.8,-,ว่างเปล่า/ไม่ทำประโยชน์
879,โฉนด,11205,833,2635.0,2E0114,0.0,1.0,21.2,-,-,-,121.2,-,ว่างเปล่า/ไม่ทำประโยชน์
880,โฉนด,11206,834,2636.0,2E0115,0.0,1.0,21.7,-,-,-,121.2,-,ว่างเปล่า/ไม่ทำประโยชน์
881,โฉนด,11207,835,2637.0,2E0116,0.0,1.0,23.3,-,-,-,123.3,-,ว่างเปล่า/ไม่ทำประโยชน์
882,โฉนด,11208,836,2638.0,2E0117,0.0,1.0,24.9,-,-,-,124.9,-,ว่างเปล่า/ไม่ทำประโยชน์
883,โฉนด,11209,837,2639.0,2E0118,0.0,1.0,24.9,-,-,-,124.9,-,ว่างเปล่า/ไม่ทำประโยชน์
884,โฉนด,11210,838,2640.0,2E0119,0.0,1.0,26.5,-,-,-,126.5,-,ว่างเปล่า/ไม่ทำประโยชน์
885,โฉนด,11211,839,2641.0,2E0120,0.0,1.0,28.0,-,-,-,128.0,-,ว่างเปล่า/ไม่ทำประโยชน์
886,โฉนด,11212,840,2642.0,2E0121,0.0,1.0,29.6,-,-,-,129.6,-,ว่างเปล่า/ไม่ทำประโยชน์
890,โฉนด,11216,848,2646.0,2E0125,0.0,1.0,21.8,-,-,-,121.8,-,ว่างเปล่า/ไม่ทำประโยชน์
891,โฉนด,11217,847,2647.0,2E0126,0.0,1.0,21.9,-,-,-,121.9,-,ว่างเปล่า/ไม่ทำประโยชน์
892,โฉนด,11218,846,2648.0,2E0127,0.0,1.0,23.4,-,-,-,123.4,-,ว่างเปล่า/ไม่ทำประโยชน์
893,โฉนด,11219,845,2649.0,2E0128,0.0,1.0,22.5,-,-,-,122.5,-,ว่างเปล่า/ไม่ทำประโยชน์
898,โฉนด,11223,851,2653.0,2E0132,0.0,1.0,17.6,-,-,-,117.6,-,ว่างเปล่า/ไม่ทำประโยชน์
899,โฉนด,11224,852,2654.0,2E0133,0.0,1.0,19.1,-,-,-,119.1,-,ว่างเปล่า/ไม่ทำประโยชน์
