ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),อยู่อาศัย (ตร.ว.),อื่น ๆ (ตร.ว.),ว่างเปล่า/ไม่ทำประโยชน์ (ตร.ว.),ใช้ประโยชน์หลากหลาย (ตร.ว.),ลักษณะการทำประโยชน์
1198,โฉนด,845,795,1022.0,02I023,0.0,0.0,49.1,-,-,-,49.1,-,ว่างเปล่า/ไม่ทำประโยชน์
1217,โฉนด,857,778,1023.0,02I037,1.0,0.0,30.5,-,-,-,430.5,-,ว่างเปล่า/ไม่ทำประโยชน์
1259,โฉนด,846,1246,1005.0,02I062,0.0,3.0,20.0,-,-,-,320.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1261,โฉนด,903,1247,1059.0,02I064,0.0,1.0,65.9,-,-,-,165.9,-,ว่างเปล่า/ไม่ทำประโยชน์
1263,โฉนด,797,1016,1065.0,02I066,1.0,0.0,15.0,-,-,-,415.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1265,โฉนด,914,1249,1060.0,02I067,0.0,2.0,83.7,-,-,-,283.7,-,ว่างเปล่า/ไม่ทำประโยชน์
1266,โฉนด,1731,1017,1002.0,02I068,0.0,1.0,12.3,-,-,-,112.3,-,ว่างเปล่า/ไม่ทำประโยชน์
1267,โฉนด,772,1250,1003.0,02I069,0.0,0.0,79.0,-,-,-,79.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1268,โฉนด,679,1251,1001.0,02I070,0.0,0.0,78.0,-,-,-,78.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1340,โฉนด,941,1361,972.0,02K007,0.0,1.0,10.6,-,-,-,110.6,-,ว่างเปล่า/ไม่ทำประโยชน์
1352,โฉนด,7785,1031,2176.0,02K015,0.0,0.0,80.1,-,-,-,80.1,-,ว่างเปล่า/ไม่ทำประโยชน์
1366,โฉนด,69860,2,4347.0,02K019/006,0.0,0.0,31.0,-,-,-,31.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1486,โฉนด,367,2167,446.0,02L009,0.0,1.0,64.6,-,-,-,164.6,-,ว่างเปล่า/ไม่ทำประโยชน์
1505,โฉนด,476,2198,380.0,02L021,0.0,0.0,70.6,-,-,-,70.6,-,ว่างเปล่า/ไม่ทำประโยชน์
1506,โฉนด,8360,2196,2367.0,02L022,0.0,0.0,70.9,-,-,-,70.9,-,ว่างเปล่า/ไม่ทำประโยชน์
1507,โฉนด,2816,2199,1427.0,02L023,0.0,0.0,71.1,-,-,-,71.1,-,ว่างเปล่า/ไม่ทำประโยชน์
1559,โฉนด,131,2232,364.0,02L067,0.0,1.0,70.0,-,-,-,170.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1595,โฉนด,1667,920,1583.0,03A026,8.0,1.0,37.9,-,-,-,3379.9,-,ว่างเปล่า/ไม่ทำประโยชน์
1609,โฉนด,1109,924,1584.0,03A034,2.0,1.0,72.5,-,-,-,972.5,-,ว่างเปล่า/ไม่ทำประโยชน์
1617,โฉนด,1383,960,1517.0,03B006,3.0,0.0,39.4,-,-,-,1239.4,-,ว่างเปล่า/ไม่ทำประโยชน์
1618,โฉนด,1486,959,1518.0,03B007,5.0,3.0,85.0,-,-,-,2385.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1619,โฉนด,1389,961,1510.0,03B009,1.0,0.0,88.4,-,-,-,488.4,-,ว่างเปล่า/ไม่ทำประโยชน์
1620,โฉนด,1381,962,1509.0,03B010,2.0,3.0,9.2,-,-,-,1109.2,-,ว่างเปล่า/ไม่ทำประโยชน์
1621,โฉนด,1382,963,1508.0,03B011,6.0,1.0,44.9,-,-,-,2544.9,-,ว่างเปล่า/ไม่ทำประโยชน์
1622,โฉนด,1396,965,1507.0,03B012,6.0,1.0,4.9,-,-,-,2504.9,-,ว่างเปล่า/ไม่ทำประโยชน์
1623,โฉนด,1691,923,1751.0,03B013,3.0,2.0,50.4,-,-,-,1450.4,-,ว่างเปล่า/ไม่ทำประโยชน์
1629,โฉนด,1399,1050,1585.0,03B020,1.0,0.0,68.4,-,-,-,468.4,-,ว่างเปล่า/ไม่ทำประโยชน์
1630,โฉนด,100837,25,4955.0,03B020/001,0.0,3.0,69.3,-,-,-,369.3,-,ว่างเปล่า/ไม่ทำประโยชน์
1631,โฉนด,101760,26,5008.0,03B020/002,0.0,0.0,72.8,-,-,-,72.8,-,ว่างเปล่า/ไม่ทำประโยชน์
